Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,110,0,Some Random Commen with Id 0
1,0,8,124,8,Some Random Commen with Id 1
2,0,8,41,8,Some Random Commen with Id 2
3,1,2,135,9,Some Random Commen with Id 3
4,1,2,67,0,Some Random Commen with Id 4
5,1,2,129,3,Some Random Commen with Id 5
6,1,2,70,8,Some Random Commen with Id 6
7,1,2,75,1,Some Random Commen with Id 7
8,1,2,63,5,Some Random Commen with Id 8
9,1,2,122,0,Some Random Commen with Id 9
10,2,7,156,8,Some Random Commen with Id 10
11,3,1,66,9,Some Random Commen with Id 11
12,3,1,131,8,Some Random Commen with Id 12
13,3,1,168,2,Some Random Commen with Id 13
14,3,1,28,5,Some Random Commen with Id 14
15,3,1,110,5,Some Random Commen with Id 15
16,3,1,127,6,Some Random Commen with Id 16
17,4,1,94,6,Some Random Commen with Id 17
18,4,1,190,4,Some Random Commen with Id 18
19,4,1,42,6,Some Random Commen with Id 19
20,4,1,120,1,Some Random Commen with Id 20
21,5,0,36,8,Some Random Commen with Id 21
22,5,0,196,9,Some Random Commen with Id 22
23,5,0,143,5,Some Random Commen with Id 23
24,5,0,103,5,Some Random Commen with Id 24
25,5,0,85,4,Some Random Commen with Id 25
26,5,0,128,3,Some Random Commen with Id 26
27,5,0,90,8,Some Random Commen with Id 27
28,5,0,195,6,Some Random Commen with Id 28
29,7,1,70,6,Some Random Commen with Id 29
30,7,1,129,1,Some Random Commen with Id 30
31,7,1,47,9,Some Random Commen with Id 31
32,7,1,0,4,Some Random Commen with Id 32
33,7,1,70,3,Some Random Commen with Id 33
34,7,1,24,4,Some Random Commen with Id 34
35,7,1,179,3,Some Random Commen with Id 35
36,7,1,44,8,Some Random Commen with Id 36
37,8,2,89,7,Some Random Commen with Id 37
38,8,2,54,0,Some Random Commen with Id 38
39,8,2,55,2,Some Random Commen with Id 39
40,8,2,94,6,Some Random Commen with Id 40
41,9,3,149,7,Some Random Commen with Id 41
42,9,3,152,3,Some Random Commen with Id 42
43,9,3,186,1,Some Random Commen with Id 43
44,9,3,178,7,Some Random Commen with Id 44
45,9,3,193,2,Some Random Commen with Id 45
46,9,3,179,4,Some Random Commen with Id 46
47,9,3,177,2,Some Random Commen with Id 47
48,9,3,15,2,Some Random Commen with Id 48
49,9,3,107,0,Some Random Commen with Id 49
50,10,2,183,1,Some Random Commen with Id 50
51,10,2,177,2,Some Random Commen with Id 51
52,10,2,113,8,Some Random Commen with Id 52
53,10,2,95,7,Some Random Commen with Id 53
54,10,2,32,1,Some Random Commen with Id 54
55,10,2,107,8,Some Random Commen with Id 55
56,10,2,79,7,Some Random Commen with Id 56
57,10,2,199,0,Some Random Commen with Id 57
58,10,2,117,3,Some Random Commen with Id 58
59,11,3,127,4,Some Random Commen with Id 59
60,11,3,0,8,Some Random Commen with Id 60
61,11,3,157,7,Some Random Commen with Id 61
62,11,3,81,5,Some Random Commen with Id 62
63,11,3,129,5,Some Random Commen with Id 63
64,11,3,139,4,Some Random Commen with Id 64
65,11,3,99,2,Some Random Commen with Id 65
66,11,3,21,2,Some Random Commen with Id 66
67,11,3,162,8,Some Random Commen with Id 67
68,12,6,54,1,Some Random Commen with Id 68
69,12,6,75,8,Some Random Commen with Id 69
70,13,3,10,0,Some Random Commen with Id 70
71,13,3,36,9,Some Random Commen with Id 71
72,13,3,74,9,Some Random Commen with Id 72
73,14,9,154,9,Some Random Commen with Id 73
74,14,9,53,7,Some Random Commen with Id 74
75,14,9,160,9,Some Random Commen with Id 75
76,15,0,18,1,Some Random Commen with Id 76
77,15,0,30,6,Some Random Commen with Id 77
78,15,0,143,4,Some Random Commen with Id 78
79,15,0,126,6,Some Random Commen with Id 79
80,15,0,60,2,Some Random Commen with Id 80
81,15,0,90,6,Some Random Commen with Id 81
82,15,0,99,0,Some Random Commen with Id 82
83,16,6,78,1,Some Random Commen with Id 83
84,16,6,186,5,Some Random Commen with Id 84
85,16,6,49,1,Some Random Commen with Id 85
86,18,8,134,9,Some Random Commen with Id 86
87,18,8,161,3,Some Random Commen with Id 87
88,18,8,28,5,Some Random Commen with Id 88
89,18,8,52,4,Some Random Commen with Id 89
90,18,8,10,7,Some Random Commen with Id 90
91,18,8,101,2,Some Random Commen with Id 91
92,18,8,72,4,Some Random Commen with Id 92
93,18,8,122,7,Some Random Commen with Id 93
